"Enter/modify comment for the flag you want to assign, and click \"Set\" button.","Enter/modify comment for the flag you want to assign, and click \"Set\" button."
"Set","Set"
"NO FLAG","NO FLAG"
"Flag Information","Flag Information"
"Alias","Alias"
"Icon Image","Icon Image"
"Priority","Priority"
"Numeric value for internal use.","Numeric value for internal use."
"Comments","Comments"
"General Information","General Information"
"Save Flag","Save Flag"
"Delete Flag","Delete Flag"
"New Flag","New Flag"
"Order Flags","Order Flags"
"Apply Flag","Apply Flag"
"For","For"
"Column","Column"
"---Order-Flags-Actions---","---Order-Flags-Actions---"
"Remove Flags","Remove Flags"
"From Column","From Column"
"Flags","Flags"
"Sales","Sales"
"Edit Flag","Edit Flag"
"This flag no longer exists.","This flag no longer exists."
"The flag has been saved.","The flag has been saved."
"An error occurred while saving the flag: ","An error occurred while saving the flag: "
"The flag has been deleted.","The flag has been deleted."
"An error occurred while setting order flag.","An error occurred while setting order flag."
"An error occurred while removing flags.","An error occurred while removing flags."
"The flags have been removed.","The flags have been removed."
"An error occurred while setting order flags.","An error occurred while setting order flags."
"The flags have been applied.","The flags have been applied."
"No action specified.","No action specified."
"No orders selected.","No orders selected."
"Columns","Columns"
"Edit Column","Edit Column"
"This column no longer exists.","This column no longer exists."
"The column has been saved.","The column has been saved."
"An error occurred while saving the column: ","An error occurred while saving the column: "
"The column has been deleted.","The column has been deleted."
"Add New Flag","Add New Flag"
"Add New Column","Add New Column"
"Flag Icon","Flag Icon"
"Flag Alias","Flag Alias"
"Auto Apply On Order Status Change To","Auto Apply On Order Status Change To"
"Auto Apply On Order Shipping Method Chosen As","Auto Apply On Order Shipping Method Chosen As"
"Edit Flag '%s'","Edit Flag '%s'"
"Automatic Apply","Automatic Apply"
"Automatically Apply On Order Status Change And Selected Shipping Method","Automatically Apply On Order Status Change And Selected Shipping Method"
"Order Status","Order Status"
"Set flag if order changes to one of selected statuses","Set flag if order changes to one of selected statuses"
"Order Shipping Method","Order Shipping Method"
"Set flag if order changes to one of selected shipping methods","Set flag if order changes to one of selected shipping methods"
"Position","Position"
"Column Alias","Column Alias"
"Applied Flags","Applied Flags"
"Save Column","Save Column"
"Delete Column","Delete Column"
"New Column","New Column"
"Edit Column '%s'","Edit Column '%s'"
"Column Information","Column Information"
"Apply Flags","Apply Flags"
"Apply Flags To Column","Apply Flags To Column"
"Set flags to column","Set flags to column"
"Access denied.","Access denied."
"Assign Flags","Assign Flags"