"Dynamic Products","Dynamic Products"
"Matching Products","Matching Products"
"Special Product Condition","Special Product Condition"
"In Promo","In Promo"
"Is New","Is New"
"Created","Created"
"days","days"
"during the last","during the last"
"Quantity In Stock","Quantity In Stock"
"In Stock","In Stock"
"The grid generation is being processed. Please try again later.","The grid generation is being processed. Please try again later."
"and","and"
"Is Salable","Is Salable"
"Special Price Applied","Special Price Applied"
"Total Child Products Quantity In Stock","Total Child Products Quantity In Stock"
"Replace Matching Simple Products By Parent Products","Replace Matching Simple Products By Parent Products"
"Keep Orphans","Keep Orphans"
"Discard Orphans","Discard Orphans"
"Automatically Reindex Matching Products","Automatically Reindex Matching Products"
"If enabled, matching products will be refreshed automatically by a scheduled task.","If enabled, matching products will be refreshed automatically by a scheduled task."
"Reindex Matching Products Every","Reindex Matching Products Every"
"Specify time in hours.","Specify time in hours."
"Refresh Matching Products","Refresh Matching Products"
"Are you sure? Unsaved data will be lost!","Are you sure? Unsaved data will be lost!"
"Enable Category Reindexation Logging","Enable Category Reindexation Logging"
"If enabled, category reindexation will be logged and will display products matching conditions.","If enabled, category reindexation will be logged and will display products matching conditions."