"Dealer Locator", "Dealer Locator"
"Search Dealers", "Search Dealers"
"Search by Postcode or Address", "Search by Postcode or Address"
"Search in", "Search in"
"Search", "Search"
"Reset", "Reset"
"Dealers", "Dealers"
"Store", "Store"
"Address", "Address"
"Phone", "Phone"
"Email", "Email"
"Website", "Website"
"Postcode", "Postcode"
"There are no dealers matching your selection.", "There are no dealers matching your selection."
"Magebuzz Add-ons", "Magebuzz Add-ons"
"General Options", "General Options"
"Google Geo API URL", "Google Geo API URL"
"Google API Key", "Google API Key"
"Allow customer to search dealer", "Allow customer to search dealer"
"Leave empty for default.<br/>Format: <b>https://maps.googleapis.com/maps/api/geocode/json</b>", "Leave empty for default.<br/>Format: <b>https://maps.googleapis.com/maps/api/geocode/json</b>"
"Default Dealer Icon Image", "Default Dealer Icon Image"
"Default Location Address", "Default Location Address"
"Search Radius", "Search Radius"
"Separated by comma.", "Separated by comma."
"Default Search Radius", "Default Search Radius"
"Distance Unit", "Distance Unit"
"Show Link on Top Menu", "Show Link on Top Menu"
"Show Email And Website", "Show Email And Website"
"Page Type", "Page Type"
"Title", "Title"
"Postal Code", "Postal Code"
"<small>Leave 2 fields below empty if you do NOT know exact values.</small>", "<small>Leave 2 fields below empty if you do NOT know exact values.</small>"
"Longitude", "Longitude"
"Latitude", "Latitude"
"Dealer Icon", "Dealer Icon"
"Store View", "Store View"
"Status", "Status"
"Enabled", "Enabled"
"Disabled", "Disabled"
"Note", "Note"
"<small>Instruction for this dealer store</small>", "<small>Instruction for this dealer store</small>",
"Get Directions", "Get Directions",
"To Here", "To Here"
"From Here", "From Here"
"Your browser supports Finding the Nearest Dealer", "Your browser supports Finding the Nearest Dealer",
"Distance", "Distance"
"'Your browser DOES NOT support Finding the Nearest Dealer'", "'Your browser DOES NOT support Finding the Nearest Dealer'"
"'Your current location is temporarily unavailable'", "'Your current location is temporarily unavailable'"
"Search result for <strong>%s</strong>", "Search result for <strong>%s</strong>"
"Dealer By Tag", "Dealer By Tag"
"Show All", "Show All"
"Find Nearest Dealers", "Find Nearest Dealers"
"No dealers are available.", "No dealers are available."
"Did you mean?", "Did you mean?"