"Mageplace","Mageplace"
"Smart Stock Update","Smart Stock Update"
"CSV File First Column","CSV File First Column"
"Product SKU","Product SKU"
"Product ID","Product ID"
"Select File to Import","Select File to Import"
"Upload","Upload"
"Fast Inventory Update","Fast Inventory Update"
"Error during uploading CSV file","Error during uploading CSV file"
"Input file must be in CSV format","Input file must be in CSV format"
"Error during moving CSV file","Error during moving CSV file"
"Skip row %s","Skip row %s"
"Product SKU '%s' not founded","Product SKU '%s' not founded"
"Product ID#%s not loaded","Product ID#%s not loaded"
"Product ID#%s stock not loaded","Product ID#%s stock not loaded"
"Error during opening CSV file","Error during opening CSV file"
"Export","Export"
"Value Delimiter","Value Delimiter"
"Enclose Values In","Enclose Values In"
"Error during export data to CSV file","Error during export data to CSV file"
"Product ID#%s stock not updated","Product ID#%s stock not updated"