"Allow Qty Below 0","ยอมให้จำนวนต่ำกว่า 0"
"Allow Qty Below 0 and Notify Customer","ยอมให้จำนวนต่ำกว่า 0 และแจ้งไปยังลูกค้า"
"Backorders","รายการสั่งซื้อล่วงหน้า"
"Decrease Stock When Order is Placed","ลดจำนวนสินค้าในสต๊อกเมื่อมีการสั่งคำสั่งซื้อ"
"Inventory","สินค้าในคลังสินค้า"
"Maximum Qty Allowed in Shopping Cart","จำนวนสูงสุดที่อนุญาตให้มีในตะกร้า"
"Minimum Qty for Items' Status to be In Stock","จำนวนที่น้อยที่สุดสำหรับรายการในคลังสินค้า"
"Minimum Qty Allowed in Shopping Cart","จำนวนน้อยสุดที่อนุญาตให้มีในตะกร้า"
"Rule price","ข้อกำหนดราคา"
"Stock Options","ตัวเลือกคลังสินค้า"
"By Fixed value","ตามค่าคงที่"
"By Percentage","ตามเปอร์เซ็นต์"
"Update the Product","ปรับปรุงสินค้า"
"The requested quantity for ""%s"" is not available.","ปริมาณที่ต้องการสำหรับ ""%s"" มีไม่พอ"
"Notify for Quantity Below","แจ้งเตือนเมื่อจำนวนต่ำกว่า"
"No Backorders","ไม่มี รายการสั่งซื้อล่วงหน้า"
"The requested quantity is not available.","ไม่มีสินค้าเพียงพอกับจำนวนที่ระบุ"
"Can not specify product identifier for order item","ไม่สามารถระบุตัวบ่งชี้สินค้าสำหรับรายการคำสั่งซื้อ"
"To Fixed Value","เป็นค่าคงที่"
"To Percentage","เป็นเปอร์เซ็นต์"
"This product is not available in the requested quantity. %s of the items will be backordered.","สินค้า Pre-Order ต้องรอสินค้าประมาณ 7 วันทำการ นับจากวันที่ชำระเงิน"